time,D,S1,S2,Z,C,pH
0.0,0.024672782145353726,31.76110822531059,0.0,9.71963634469488e-06,0.0,7.4
0.25,0.0227449173416132,34.40230600006434,0.0,9.350650873121308e-06,0.0,7.4
0.5,0.023703142422971685,32.42709321479112,0.0,9.66433739326366e-06,0.0,7.4
0.75,0.024168485610302628,32.354843548228736,0.0,1.0208944993974643e-05,0.0,7.4
1.0,0.02509176771277116,34.72983469703995,0.0,1.0759057304001591e-05,0.0,7.4
1.25,0.02491429781750171,32.16716873282309,0.0,9.614454571131494e-06,0.0,7.4
1.5,0.023783019862613265,34.604753538475784,0.0,9.557272465026002e-06,0.0,7.4
1.75,0.02383959649629131,34.1454265206527,0.0,9.99429506527205e-06,0.0,7.4
2.0,0.024517501835371592,32.17464426412809,0.0,1.063792411492739e-05,0.0,7.4
2.25,0.021928682845859786,34.417182211977426,0.0,1.0254304011201586e-05,0.0,7.4
2.5,0.023127497333477635,31.428541102723045,0.0,1.0340510202150582e-05,0.0,7.4
2.75,0.02261610990546614,32.31775399473182,0.0,9.441856838936469e-06,0.0,7.4
3.0,0.024877556607713413,32.27557907213285,0.0,1.0665442875165313e-05,0.0,7.4
3.25,0.022196458536772053,30.817040006794883,0.0,1.0071714952781752e-05,0.0,7.4
3.5,0.02474072521519547,32.93956572306697,0.0,1.0598636612998319e-05,0.0,7.4
3.75,0.022722442589050356,30.362554353479492,0.0,1.0161900149125272e-05,0.0,7.4
4.0,0.024976406599251297,32.20398554774569,0.0,1.0715086921279868e-05,0.0,7.4
4.25,0.024141620842582034,30.870590493564187,0.0,1.0579035929333683e-05,0.0,7.4
4.5,0.02531258800027746,32.1083632607696,0.0,1.0126935416906214e-05,0.0,7.4
4.75,0.025302104598658826,33.27872800066545,0.0,9.322878433788955e-06,0.0,7.4
5.0,0.024646234618259554,33.86317539415499,0.0,1.0180711775277507e-05,0.0,7.4
5.25,0.023271770245272775,30.558717180858725,0.0,9.578448797794272e-06,0.0,7.4
5.5,0.023715626145170567,34.56223044947614,0.0,1.0729128821277552e-05,0.0,7.4
5.75,0.022323313843970512,33.81310842126477,0.0,1.003504414244617e-05,0.0,7.4
6.0,0.024273619986435124,34.89709898465264,0.0,1.0313389766976975e-05,0.0,7.4
6.25,0.023013449966487454,34.64370770276664,0.0,1.0736152470435468e-05,0.0,7.4
6.5,0.022746385622931405,32.61261734045661,0.0,1.0180442594281399e-05,0.0,7.4
6.75,0.02337005146391501,32.49445699638667,0.0,9.463559158968597e-06,0.0,7.4
7.0,0.023288297887220016,33.24236258402493,0.0,9.680727903262878e-06,0.0,7.4
7.25,0.025391895724775442,33.03951009365493,0.0,9.34824423636536e-06,0.0,7.4
7.5,0.025242397762473598,32.46432813442967,0.0,9.407463458646704e-06,0.0,7.4
7.75,0.02616213633831177,33.6346901525932,0.0,9.427498697217051e-06,0.0,7.4
8.0,0.024636760090036656,32.59691382181486,0.0,9.956573492034053e-06,0.0,7.4
8.25,0.026526587542264706,29.92289406271081,0.0,1.0587942974518455e-05,0.0,7.4
8.5,0.023524663380928127,30.465196134849432,0.0,1.0725232836774136e-05,0.0,7.4
8.75,0.02458822103215038,31.665604912497653,0.0,1.0727966931846046e-05,0.0,7.4
9.0,0.026752935852553443,31.203844655861612,0.0,1.0576793055085162e-05,0.0,7.4
9.25,0.0237635592249442,30.17770924489879,0.0,9.963714961680736e-06,0.0,7.4
9.5,0.025541179129401684,34.27564911882663,0.0,9.898677299583896e-06,0.0,7.4
9.75,0.02640160141064008,30.582141300287322,0.0,9.972481521991363e-06,0.0,7.4
10.0,0.026179615613397326,33.83875167314737,0.0,1.0441975458773994e-05,0.0,7.4
10.25,0.02365937845378552,32.496987752078645,0.0,1.0414270844578252e-05,0.0,7.4
10.5,0.023313310768434216,29.80299837788808,0.0,9.803599839876892e-06,0.0,7.4
10.75,0.025681722681090997,32.517117640923885,0.0,1.028654748765019e-05,0.0,7.4
11.0,0.02716244120746985,30.373688341832285,0.0,1.077142477429648e-05,0.0,7.4
11.25,0.02726380832117843,30.894920883725806,0.0,1.0162206274368348e-05,0.0,7.4
11.5,0.027025875819669663,30.224871081183252,0.0,1.0374804180554887e-05,0.0,7.4
11.75,0.02713245228032395,30.188684285913414,0.0,1.0040371820671224e-05,0.0,7.4
12.0,0.024501419482087578,32.210916150533976,0.0,9.676043208302969e-06,0.0,7.4
12.25,0.02475214653349773,29.81370352974945,0.0,1.0258717186317721e-05,0.0,7.4
12.5,0.02504736034996555,29.391645150928504,0.0,1.0800278999470918e-05,0.0,7.4
12.75,0.025254132831630024,30.85447988732301,0.0,9.843019307370829e-06,0.0,7.4
13.0,0.026115702852088314,32.75040055928195,0.0,1.0352064173717122e-05,0.0,7.4
13.25,0.027035896055431295,30.54096214035848,0.0,1.0576162816922293e-05,0.0,7.4
13.5,0.02589170105300826,32.49331013872224,0.0,9.715275212544066e-06,0.0,7.4
13.75,0.025248904067662836,31.469882647948104,0.0,1.0314562866278012e-05,0.0,7.4
14.0,0.024233990623569495,32.711687336669826,0.0,1.0163799154330065e-05,0.0,7.4
14.25,0.025589374082607266,31.875988465380136,0.0,1.0656648616160872e-05,0.0,7.4
14.5,0.02596712144334005,30.11675210487062,0.0,1.0792142489724595e-05,0.0,7.4
14.75,0.024399829975893874,31.521301412334626,0.0,9.360938247395557e-06,0.0,7.4
15.0,0.02736574162045473,30.88146750483235,0.0,9.748921980948704e-06,0.0,7.4
15.25,0.02689426176580554,32.98673924367916,0.0,9.45695477126895e-06,0.0,7.4
15.5,0.026356099349629004,30.182626715674314,0.0,9.547447298001183e-06,0.0,7.4
15.75,0.02575165097238414,33.06681216849211,0.0,1.0094674797711448e-05,0.0,7.4
16.0,0.027930859544303743,32.78812809832852,0.0,9.282975320847699e-06,0.0,7.4
16.25,0.026569044976545265,34.00273839230842,0.0,9.411633374186569e-06,0.0,7.4
16.5,0.026574399994945368,29.6812388276882,0.0,1.0125327099253415e-05,0.0,7.4
16.75,0.025393660349366916,31.670289790946512,0.0,1.0469303160274392e-05,0.0,7.4
17.0,0.027431867624411306,32.14514369549745,0.0,9.959837319937909e-06,0.0,7.4
17.25,0.026285113919787127,30.104759820050266,0.0,1.0411797899650042e-05,0.0,7.4
17.5,0.02815471053960133,31.412018922350125,0.0,1.0169554073449699e-05,0.0,7.4
17.75,0.02565626140109277,32.47687153543789,0.0,1.0386625840720805e-05,0.0,7.4
18.0,0.02651781000798602,33.898639020997614,0.0,1.0585913716346013e-05,0.0,7.4
18.25,0.025863169884865308,30.276830207842963,0.0,1.0699892044819434e-05,0.0,7.4
18.5,0.026415327731402018,29.506616797268595,0.0,1.0786859840632393e-05,0.0,7.4
18.75,0.028158384596074105,29.173806877700542,0.0,9.756786426700331e-06,0.0,7.4
19.0,0.026813633346359268,32.38114029888848,0.0,9.747130983464238e-06,0.0,7.4
19.25,0.026540631731455534,32.14648590711115,0.0,1.0010117744389977e-05,0.0,7.4
19.5,0.027772218558030276,33.505625352426186,0.0,1.0224030355932514e-05,0.0,7.4
19.75,0.026730682692864667,29.676921118269746,0.0,1.0298289049020627e-05,0.0,7.4
20.0,0.026196221323839183,32.0641980344444,0.0,1.0474665341664044e-05,0.0,7.4
20.25,0.02797565392026183,29.84534763780763,0.0,1.0343796536409038e-05,0.0,7.4
20.5,0.027077472261130595,29.526846654676824,0.0,9.821816761479445e-06,0.0,7.4
20.75,0.02802458551169215,29.973253846669543,0.0,1.0132982912197369e-05,0.0,7.4
21.0,0.029636262975863796,29.841938817796464,0.0,9.863630076257923e-06,0.0,7.4
21.25,0.026767574001794695,32.201277863173594,0.0,1.0374366150013452e-05,0.0,7.4
21.5,0.027185274097286043,31.27600765631518,0.0,1.0500137464859089e-05,0.0,7.4
21.75,0.030016104574223847,32.99085079352632,0.0,9.347303702093817e-06,0.0,7.4
22.0,0.02836939801362482,32.409490750892104,0.0,1.0409155347609024e-05,0.0,7.4
22.25,0.02665314638202833,29.357487211406347,0.0,9.65141745861052e-06,0.0,7.4
22.5,0.027283745626402605,31.74060820921541,0.0,1.0347835190285989e-05,0.0,7.4
22.75,0.02770374218751014,32.74429838121462,0.0,1.0504435482829825e-05,0.0,7.4
23.0,0.028481206273003372,33.52265686979597,0.0,9.671375419700138e-06,0.0,7.4
23.25,0.027539343332072076,31.95364891632036,0.0,9.242682018693093e-06,0.0,7.4
23.5,0.027384734177654607,31.754688265228353,0.0,1.020407440986678e-05,0.0,7.4
23.75,0.030246002675312092,29.54539425690496,0.0,1.0057167237972864e-05,0.0,7.4
24.0,0.02937489527232459,32.53280257489647,0.0,9.507805085821896e-06,0.0,7.4
24.25,0.029414164073461615,33.65308903387177,0.0,9.916685560204462e-06,0.0,7.4
24.5,0.026355415043981797,31.12404382734649,0.0,1.0030100252785357e-05,0.0,7.4
24.75,0.027283525864228223,32.60581453332311,0.0,9.594179432065165e-06,0.0,7.4
25.0,0.028803740262796397,33.060951718531655,0.0,1.0578615365781829e-05,0.0,7.4
25.25,0.02660686514209235,34.136135036626385,0.0,1.0116958605822033e-05,0.0,7.4
25.5,0.030772698016722017,32.79565853124556,0.0,9.54811362372611e-06,0.0,7.4
25.75,0.03015515201771278,31.301301827542506,0.0,1.0589879722004058e-05,0.0,7.4
26.0,0.02839487513018022,31.4359780244185,0.0,9.837585242634817e-06,0.0,7.4
26.25,0.028506158474233174,29.414537375039398,0.0,1.012253560384542e-05,0.0,7.4
26.5,0.027388242304664363,29.68506039031319,0.0,1.0131655967254338e-05,0.0,7.4
26.75,0.0300462904437876,32.212168105119964,0.0,9.340175077038957e-06,0.0,7.4
27.0,0.029058099065567375,32.19982933267863,0.0,9.460464842469393e-06,0.0,7.4
